greenwich_date,jd_ephem,observer,clamp,ra_h,ra_m,ra_s,ra_o_minus_c,dec_sign,dec_deg,dec_min,dec_sec,dec_o_minus_c,distance_au
1968 Jun. 4.71,40012.21287,To,W,4,51,03.913,+0.095,+,22,30,01.43,+0.94,1.014683
1968 Jun. 5.71,40013.21299,Ga,W,4,55,10.919,+0.022,+,22,36,34.91,+0.24,1.014811
1968 Jun. 6.71,40014.21311,KI,=,0,4,59,,+,22,42,45.86,+0.72,1.014934
1968 Jun. 7.71,40015.21324,C.,W,5,3,26.044,+0.104,+,22,48,,,1.015055
1968 Jun. 14.71,40022.21421,Du,W,5,32,26.195,+0.110,+,23,17,39.27,-0.12,1.015811
1968 Jun. 15.71,40023.21436,Gv,W,5,36,35.426,+0.040,+,23,20,11.72,+0.40,1.015907
1968 Jun. 18.71,40026.21481,Rh,W,5,49,03.997,+0.070,+,23,25,18.78,-0.01,1.016167
1968 Jun. 19.71,40027.21496,Hа,W,5,53,13.640,+0.059,+,23,26,12.79,+1.04,1.016245
1968 Jun. 20.71,40028.21511,To,W,5,57,23.338,+0.079,+,23,26,40.48,+0.63,1.016317
1968 Jun. 21.71,40029.21526,Du,W,6,1,32.982,+0.044,+,23,26,43.66,+0.55,1.016384
1968 Jul. 1.71,40039.21671,Du,,0,6,43,,+,23,4,35.59,-0.26,1.016732
1968 Jul. 5.71,40043.21721,C.,,6,59,33.860,+0.098,,,,,-1.08,1.016716
1968 Jul. 7.71,40045.21744,Rh,E,7,7,46.667,+0.123,+,22,31,53.31,-0.08,1.016682
1968 Jul. 8.71,40046.21755,Ga,E,7,11,52.367,+0.023,+,22,25,03.59,-0.19,1.016660
1968 Jul. 9.71,40047.21765,Gy,,0,7,15,,+,22,17,50.69,-0.27,1.016634
,40049.21784,Du,E,7,24,07.287,+0.066,+,22,2,17.16,+0.45,1.016573
1171 Jul. 12.71,40050.21793,KI,E,7,28,11.302,+0.010,+,21,53,55.24,-0.30,1.016538
1968 Jul. 17.71,40055.21828,To,E,7,48,24.579,+0.018,+,21,6,36.69,+0.86,1.016304
